#Perc	time	N	Ekin	Epot	Eges
0.4%	4.49	5	0.720875	11.7826	12.5034
0.5%	4.5	5	0.72135	11.7821	12.5034
0.5%	4.51	5	0.721802	11.7816	12.5034
0.5%	4.52	5	0.722229	11.7812	12.5034
0.5%	4.53	5	0.722629	11.7808	12.5034
0.5%	4.54	5	0.723002	11.7804	12.5034
0.5%	4.55	5	0.723346	11.7801	12.5034
0.5%	4.56	5	0.72366	11.7798	12.5034
0.5%	4.57	5	0.723943	11.7795	12.5034
0.5%	4.58	5	0.724194	11.7793	12.5034
0.5%	4.59	5	0.724411	11.779	12.5034
0.5%	4.6	5	0.724594	11.7789	12.5034
0.5%	4.61	5	0.724742	11.7787	12.5034
0.5%	4.62	5	0.724853	11.7786	12.5034
0.5%	4.63	5	0.724926	11.7785	12.5034
0.5%	4.64	5	0.724962	11.7785	12.5034
0.5%	4.65	5	0.724958	11.7785	12.5034
0.5%	4.66	5	0.724914	11.7785	12.5034
0.5%	4.67	5	0.724829	11.7786	12.5035
0.5%	4.68	5	0.724702	11.7787	12.5035
0.5%	4.69	5	0.724534	11.7789	12.5035
0.5%	4.7	5	0.724323	11.7791	12.5035
0.5%	4.71	5	0.724068	11.7794	12.5035
0.5%	4.72	5	0.72377	11.7797	12.5035
0.5%	4.73	5	0.723428	11.78	12.5035
0.5%	4.74	5	0.723041	11.7804	12.5035
0.5%	4.75	5	0.722611	11.7808	12.5035
0.5%	4.76	5	0.722135	11.7813	12.5035
0.5%	4.77	5	0.721615	11.7818	12.5035
0.5%	4.78	5	0.721051	11.7824	12.5035
0.5%	4.79	5	0.720442	11.783	12.5035
0.5%	4.8	5	0.719789	11.7837	12.5035
0.5%	4.81	5	0.719093	11.7844	12.5035
0.5%	4.82	5	0.718353	11.7851	12.5035
0.5%	4.83	5	0.717571	11.7859	12.5035
0.5%	4.84	5	0.716748	11.7867	12.5035
0.5%	4.85	5	0.715883	11.7876	12.5035
0.5%	4.86	5	0.714979	11.7885	12.5035
0.5%	4.87	5	0.714036	11.7894	12.5035
0.5%	4.88	5	0.713055	11.7904	12.5035
0.5%	4.89	5	0.712038	11.7914	12.5035
0.5%	4.9	5	0.710986	11.7925	12.5035
0.5%	4.91	5	0.7099	11.7936	12.5035
0.5%	4.92	5	0.708784	11.7947	12.5035
0.5%	4.93	5	0.707637	11.7958	12.5035
0.5%	4.94	5	0.706463	11.797	12.5035
0.5%	4.95	5	0.705263	11.7982	12.5035
0.5%	4.96	5	0.70404	11.7994	12.5035
0.5%	4.97	5	0.702796	11.8007	12.5035
0.5%	4.98	5	0.701534	11.8019	12.5035
0.5%	4.99	5	0.700255	11.8032	12.5035
0.5%	5	5	0.698964	11.8045	12.5035
0.5%	5.01	5	0.697662	11.8058	12.5035
0.5%	5.02	5	0.696353	11.8071	12.5035
0.5%	5.03	5	0.695039	11.8084	12.5035
0.5%	5.04	5	0.693725	11.8098	12.5035
